"compet" "K" "fs" "fa" "probamating" "G" "b" "pmut" "mean_dist" "c" "run" "max.X.sex" "max.X.sex.t" "mix" "max.nb.sex" "max.nb.sex.t" "nb.all.end" "nb.sex.end" "X.all.end" "X.sex.end" "end.t" "mean.X.sex" "mean.X.asex" "sd.X.sex" "sd.X.asex" "seed"
"73" "_ded_" "21" "9" "5" "1" "19" "0.3" "5e-04" "2.5" "1" "395" 144 81 0.0594575109064291 84983 35 181664 8468 199 144 81 127.215044874823 93.8102727545671 10.409198420123 58.2653986944559 24
"74" "_ded_" "21" "9" "5" "1" "20" "0.7" "0.005" "1.5" "0.5" "204" 44 22 0.437411304790211 33778 13 180547 6795 193 34 36 16.7582045621781 96.7478820387679 10.8920204653153 53.4087205031104 24
"75" "_ded_" "22" "5" "2" "1" "11" "1" "5e-04" "1" "0.5" "110" 190 1000 0.998443735797896 111938 666 109919 109750 199 190 1000 99.2793712984055 84.3195266272189 57.9832973561796 55.3000874860525 24
"76" "_ded_" "22" "6" "2" "1" "19" "0.2" "5e-05" "0.7" "0.5" "43" 190 998 0.999969412412443 105811 813 103804 103799 199 189 1000 98.7702964383086 184.6 57.7536984408512 21.1258135938004 24
"77" "_ded_" "22" "6" "3" "1" "14" "0.5" "5e-04" "1.3" "1" "171" 45 46 0.554156066230137 23479 41 88744 4201 160 18 77 7.54915496310402 76.1263853896833 5.42345214916791 42.3256581708523 24
"78" "_ded_" "22" "6" "5" "1" "10" "0.4" "5e-04" "2.6" "1.2" "430" 73 26 0.0934730643656716 22058 14 92513 4364 96 72 28 57.4342346471127 45.4238391813861 8.88315324042907 28.2365762388973 24
"79" "_ded_" "22" "6" "5" "1" "14" "0.3" "5e-04" "2.4" "1.2" "373" 71 28 0.0500718875619847 22073 15 83411 3529 92 71 28 57.3253046188722 41.9529180541298 7.88624750716075 26.1569153971157 24
"80" "_ded_" "22" "8" "5" "1" "3" "0.2" "5e-04" "2.7" "0.5" "438" 64 23 0.10130114539732 33394 13 176677 6550 199 64 23 42.509465648855 98.706295884839 16.6542307236649 57.7674141885108 24
"81" "_ded_" "22" "9" "4" "1" "14" "0.2" "5e-05" "2.9" "1.2" "482" 196 249 0.0717711221474056 158613 80 167860 7108 199 180 259 156.162211592572 96.6392268836469 14.59649083441 57.7101867231185 24
"82" "_ded_" "23" "10" "4" "1" "3" "1" "5e-05" "1.6" "1.2" "236" 191 842 0.999839803736692 234468 684 228370 228346 199 189 1000 99.4854300053428 129.916666666667 57.5574512095313 44.6492773851324 24
"83" "_ded_" "23" "10" "7" "1" "4" "0.8" "5e-05" "2.2" "0.5" "328" 116 34 0.0851795805452439 95568 19 294316 10389 199 115 36 66.1370680527481 98.0173847503055 46.9167726874345 56.4039838045769 24
"84" "_ded_" "23" "4" "2" "1" "17" "0.6" "5e-04" "1.6" "0.8" "228" 61 102 0.288316679477325 22954 56 80619 3270 199 56 116 21.6941896024465 98.533322990601 19.5865664441891 55.4304318818719 24
"85" "_ded_" "23" "4" "2" "1" "5" "0.2" "5e-05" "1.9" "1.2" "288" 57 50 0.530743432084964 19881 47 54673 2236 139 16 78 6.57871198568873 70.8822968514598 4.89665670038195 38.2142962059205 24
"86" "_ded_" "23" "5" "3" "1" "2" "0.6" "5e-05" "1.7" "0.8" "247" 74 66 0.0865488935743383 27465 30 94247 4325 175 74 66 64.5815028901734 78.4542714797269 5.95885755847741 51.5728711615874 24
"87" "_ded_" "23" "6" "2" "1" "10" "0.2" "5e-05" "1.2" "0.5" "145" 190 998 0.999804664609134 109585 789 106940 106918 199 189 1000 99.6847303541031 104.181818181818 57.7426939217104 61.661623755427 24
"88" "_ded_" "23" "7" "6" "1" "16" "0.5" "5e-05" "2" "1.2" "307" 167 70 0.0487136731777037 49128 27 216044 10284 183 167 70 149.836153247764 84.3867952954899 11.5040843971197 50.7553982849176 24
"89" "_ded_" "23" "7" "6" "1" "7" "0.6" "0.005" "2.4" "1.2" "374" 32 10 0.203975028666072 19583 7 83449 1926 69 25 14 13.4522326064382 34.0853869460152 7.2787577575709 19.0354473857484 24
"90" "_ded_" "23" "8" "4" "1" "7" "0.5" "5e-05" "1.3" "1" "172" 199 246 0.0444591609022054 131922 110 179693 7989 199 199 246 192.056202278132 94.7452359875134 5.10112761078294 54.960634378873 24
"91" "_ded_" "24" "10" "7" "1" "11" "0.5" "5e-04" "2.9" "0.8" "476" 83 17 0.452153507699829 82976 16 283359 10409 197 82 31 51.96272456528 99.323780912255 23.1761326006385 57.9108301667655 24
"92" "_ded_" "24" "6" "2" "1" "19" "0.2" "0.005" "2.3" "0.8" "349" 190 999 0.991696607523853 114191 366 112732 111803 199 189 1000 99.9283292934894 101.355220667384 57.6282479457282 56.6475489584098 24
"93" "_ded_" "24" "7" "6" "1" "8" "0.6" "5e-04" "0.5" "0.5" "4" 34 36 0.0356611193814296 15511 17 54775 1670 42 34 36 28.6844311377246 20.2231804914791 3.94682261490096 12.5707450187203 24
"94" "_ded_" "24" "8" "6" "1" "6" "0.8" "5e-04" "1" "5" "124" 32 27 0.12915524545228 22382 15 64551 2542 52 31 31 16.1542092840283 25.1276750149172 11.8480400370552 14.4888849359539 24
"95" "_ded_" "25" "10" "3" "1" "9" "0.5" "0.005" "1.2" "1" "151" 190 999 0.9932802449931 217760 209 213801 212342 199 189 1000 99.2953254655226 96.1220013708019 57.8671140580666 56.7854255664245 24
"96" "_ded_" "25" "3" "2" "1" "19" "0.4" "0.005" "2.5" "1" "394" 25 16 0.164841788046208 5422 11 19517 686 47 20 20 10.1588921282799 21.9894323190484 5.91665726769628 12.9248263557653 24
"97" "_ded_" "25" "6" "4" "1" "12" "0.2" "0.005" "1.9" "5" "293" 31 16 0.136484375 13531 11 43521 967 52 28 20 17.5460186142709 24.9768059406871 6.98710007553145 14.8713785418817 24
"98" "_ded_" "25" "6" "4" "1" "14" "1" "5e-05" "1.9" "1.2" "291" 199 116 0.0417073170731707 61065 61 196800 8208 199 199 116 187.678362573099 93.9826291677272 9.08376515942297 54.9823854304455 24
"99" "_ded_" "25" "7" "3" "1" "4" "0.7" "5e-05" "2.2" "5" "342" 190 998 0.999733872684692 161155 686 159131 159085 199 189 1000 98.8907376559701 113.978260869565 57.6030888339723 75.6836953321548 24
"100" "_ded_" "25" "8" "6" "1" "4" "0.3" "0.005" "0.7" "1.2" "59" 26 19 0.0351641173588808 11934 8 40655 1305 29 26 19 21.2390804597701 14.0444218551461 2.62529678377076 8.70787836151271 24
"101" "_ded_" "25" "9" "4" "1" "3" "0.7" "5e-05" "2.4" "5" "377" 190 998 0.999677878570612 206058 372 202440 202353 199 189 1000 99.4189016224123 150.885057471264 57.4337536375281 45.3219555827581 24
"102" "_ded_" "26" "10" "4" "1" "3" "0.3" "5e-05" "1.5" "0.5" "199" 199 328 0.0474054908725025 201075 78 208710 9894 199 199 328 190.553668890237 94.2752293577982 5.88168842685155 55.1007008495337 24
"103" "_ded_" "26" "3" "2" "1" "15" "0.6" "5e-04" "0.7" "0.5" "45" 20 38 0.0516222659894268 4960 18 13862 512 35 20 38 16.61328125 14.7966292134831 2.52789900135602 9.53313059510553 24
"104" "_ded_" "26" "3" "2" "1" "4" "0.5" "0.005" "1.8" "1.2" "273" 22 19 0.106364344102764 5098 12 15997 595 37 21 21 10.2403361344538 16.8370341514089 5.79716520947506 10.0607948619871 24
